Genome ID,amikacin,aztreonam,cefepime,ceftazidime,ciprofloxacin,colistin,gentamicin,imipenem,levofloxacin,meropenem,piperacillin_tazobactam,tobramycin
287_7842,S,R,R,R,R,,R,R,R,R,R,R
287_7834,S,S,S,S,S,,S,S,S,S,S,S
287_1036,S,,,,,S,,,S,S,,
287_1049,S,,,,,S,,,S,S,,
287_879,S,,,S,,S,,,S,S,,
287_917,S,,,,,S,,,S,R,,
287_1172,S,,,R,,,,,R,S,,
1402539_3,S,,,S,S,S,S,S,S,,,S
287_7820,S,R,S,S,S,,S,R,S,R,S,S
287_910,S,,,,,S,,,R,R,,
287_1185,S,,,S,,S,,,R,S,,
1402504_3,S,,,S,S,R,S,S,S,,,S
287_1138,R,,,R,,S,,,R,R,,
287_7806,S,R,R,R,R,,S,R,R,R,R,S
287_1160,R,,,R,,S,,,R,R,,
287_34436,S,S,S,S,S,S,S,,,S,S,
287_1080,S,,,S,,S,,,S,S,,
287_34440,S,S,S,S,S,S,S,,,S,S,
287_8032,S,R,S,S,R,,S,S,R,S,R,S
287_1166,S,,,S,,,,,R,S,,
287_7780,S,R,R,R,R,,R,R,R,R,R,R
287_8507,,,,,R,S,R,,R,,,R
287_1108,R,,,R,,S,,,R,R,,
287_887,S,,,S,,S,,,S,S,,
287_8033,S,R,R,R,R,,S,R,R,R,R,S
287_1124,R,,,R,,S,,,R,R,,
287_1200,S,,,S,,,,,R,R,,
1418241_3,S,,,S,S,S,S,S,S,,,S
287_1189,S,,,,,,,,S,S,,
287_34442,S,S,S,S,S,S,S,,,S,S,
287_32678,,,,,R,,,R,,,,
287_1217,R,,,S,,S,,,S,S,,
287_966,S,,,S,,S,,,R,R,,
287_877,S,,,,,S,,,S,S,,
287_4055,,S,S,S,,,,R,,S,S,
287_1130,S,,,R,,S,,,R,R,,
287_1188,S,,,R,,,,,R,R,,
287_4065,,S,S,S,,,,R,,S,S,
287_7784,S,S,S,S,S,,S,R,S,R,S,S
287_1093,S,,,S,,S,,,S,R,,
287_34824,S,S,R,S,S,S,S,,,S,S,
287_7786,S,R,R,R,R,,R,S,R,R,R,S
287_987,S,,,,,S,,,R,R,,
287_1184,S,,,R,,S,,,R,R,,
287_34433,S,S,S,S,,S,S,,,R,S,
287_7775,S,R,R,R,R,,R,R,R,R,R,S
287_1031,R,,,S,,S,,,S,R,,
287_979,S,,,,,S,,,R,R,,
287_885,S,,,,,S,,,S,S,,
287_7855,S,S,S,S,S,,S,R,S,R,S,S
287_1230,S,,,,,S,,,R,S,,
287_7817,S,S,S,S,S,,S,R,S,S,S,S
287_846,S,,,,,S,,,S,S,,
287_1183,S,,,S,,S,,,R,S,,
287_894,S,,,,,S,,,S,S,,
287_7851,R,R,R,R,R,,R,R,R,R,R,
1447543_3,S,,,S,S,S,S,S,S,,,S
287_1063,S,,,S,,S,,,R,S,,
287_994,S,,,,,R,,,R,R,,
287_7832,S,R,R,R,R,,S,S,R,R,R,S
287_1210,R,,,,,S,,,R,R,,
287_4060,,R,R,S,,,,R,,R,R,
287_1209,R,,,R,,S,,,R,R,,
287_8031,S,R,R,R,R,,S,R,R,R,R,S
287_7858,S,S,S,S,S,,S,S,S,S,S,S
287_960,S,,,S,,S,,,S,S,,
1418244_3,S,,,S,S,S,S,S,S,,,S
287_7853,R,R,R,S,R,,R,R,R,R,S,R
287_7799,S,R,R,R,S,,S,R,S,R,R,S
287_34443,S,S,S,S,S,S,S,,,S,S,
1418245_3,S,,,S,S,S,S,S,S,,,S
287_931,S,,,R,,S,,,S,S,,
287_8506,R,R,,,,,,,R,R,,
287_7839,S,R,S,S,S,,S,R,S,R,S,S
287_923,S,,,,,S,,,S,S,,
287_8501,,,R,,R,,R,,,R,,R
287_34830,S,R,S,S,S,S,S,,,S,S,
287_1104,S,,,S,,S,,,R,S,,
1402534_3,S,,,S,S,S,S,R,S,,,S
287_7826,S,S,S,S,S,,S,S,S,S,S,S
287_34432,S,R,S,S,S,S,S,,,S,S,
287_7841,S,S,S,S,S,,S,S,S,S,S,S
1402514_3,S,,,S,S,S,S,S,S,,,S
287_872,S,,,,,S,,,R,R,,
287_1140,R,,,R,,S,,,R,R,,
287_34438,S,R,S,S,S,S,S,,,S,S,
287_1065,S,,,S,,S,,,S,S,,
287_7827,S,S,S,S,R,,S,S,R,S,S,S
287_7829,S,S,S,S,S,,S,R,S,S,S,S
287_1098,S,,,S,,S,,,S,S,,
287_34446,S,S,S,S,R,S,S,,,S,S,
287_1013,S,,,,,S,,,R,R,,
287_1039,S,,,S,,S,,,S,S,,
287_7835,S,R,S,S,S,,S,R,S,R,S,S
287_911,S,,,R,,S,,,R,S,,
287_8034,S,R,S,S,S,,S,S,S,S,S,S
1402529_3,S,,,S,S,S,S,S,S,,,S
1402536_3,S,,,S,S,S,S,S,R,,,S
287_1037,S,,,,,S,,,S,S,,
287_874,S,,,,,S,,,S,S,,
287_896,S,,,,,S,,,R,S,,
287_1137,S,,,,,S,,,S,R,,
287_7819,S,R,S,R,S,,S,S,S,S,R,S
1402506_3,S,,,R,R,R,R,R,R,,,S
287_855,R,,,S,,S,,,,S,,
287_8502,,,R,R,R,S,,,R,,,
287_1126,S,,,R,,S,,,R,R,,
287_7789,S,S,S,S,S,,S,R,S,S,S,S
1447538_3,S,,,S,S,S,S,S,S,,,S
287_1216,R,,,R,,S,,,R,R,,
287_7823,S,S,R,S,R,,R,R,R,S,S,S
287_1006,S,,,,,R,,,S,S,,
287_7852,S,S,S,R,S,,S,R,S,R,S,S
287_7838,S,R,S,S,R,,S,R,R,R,S,S
287_34434,S,S,S,S,S,S,S,,,S,S,
287_7837,S,S,S,S,S,,S,S,S,S,S,S
287_1249,R,,,,,S,,,R,R,,
287_7818,S,S,S,S,S,,S,S,S,S,S,S
287_1215,R,,,,,S,,,R,R,,
287_7777,S,R,R,R,R,,S,R,R,R,R,S
287_7824,S,R,R,R,R,,S,R,R,S,R,S
287_4070,,S,S,S,,,,S,,S,S,
287_1202,R,,,R,,S,,,R,R,,
287_1173,S,,,,,,,,S,S,,
287_7861,S,S,S,S,S,,S,R,S,R,S,S
287_1181,R,,,,,S,,,R,R,,
287_1007,S,,,,,S,,,R,R,,
287_1096,R,,,R,,S,,,R,R,,
1402511_3,S,,,S,S,S,S,S,S,,,S
287_1118,S,,,S,,S,,,S,S,,
1402540_3,S,,,S,R,S,S,S,R,,,S
287_7846,S,S,S,S,R,,S,R,R,S,S,S
287_967,S,,,,,S,,,S,S,,
287_32666,,,,,R,,,S,,,,
287_980,S,,,S,,S,,,S,S,,
1418239_3,S,,,S,R,S,S,R,R,,,S
1418243_3,S,,,S,S,S,S,R,S,,,S
287_988,S,,,S,,S,,,S,S,,
287_1169,S,,,R,,,,,R,R,,
287_880,S,,,S,,S,,,S,R,,
287_8494,R,,R,,,,R,,,R,,
287_7840,R,S,R,S,R,,R,R,R,R,S,R
287_905,S,,,S,,S,,,S,S,,
287_1241,R,,,,,S,,,R,R,,
287_7797,S,S,R,R,R,,S,R,R,R,R,S
287_989,S,,,,,S,,,S,S,,
287_8027,S,R,S,S,R,,S,S,R,S,S,S
287_973,S,,,,,S,,,S,S,,
287_864,S,,,R,,S,,,R,R,,
287_1053,S,,,R,,S,,,R,S,,
1447544_3,S,,,S,S,S,S,S,S,,,S
287_1087,S,,,R,,S,,,R,S,,
287_7843,S,S,S,S,S,,S,R,S,R,S,S
287_955,S,,,R,,S,,,R,S,,
287_7807,S,S,R,S,S,,S,R,S,R,S,S
287_1004,R,,,R,,S,,,R,R,,
1418236_3,S,,,S,S,S,S,S,R,,,S
1447537_3,S,,,S,S,S,S,S,S,,,S
287_991,S,,,S,,S,,,S,R,,
287_906,S,,,,,S,,,S,S,,
1402512_3,S,,,S,S,S,S,R,S,,,S
287_1064,S,,,,,S,,,S,S,,
287_1115,S,,,S,,S,,,S,S,,
287_34822,S,S,S,S,S,S,S,,,S,S,
287_1135,S,,,R,,S,,,R,R,,
287_8495,,R,R,,,S,R,,,R,,R
287_1477,R,R,,R,,,R,R,R,R,R,R
1402525_3,S,,,S,S,R,S,S,S,,,S
287_7801,S,S,S,S,S,,S,S,S,S,S,S
287_7804,S,S,S,S,S,,S,R,S,R,S,S
287_7825,S,S,S,S,S,,S,S,S,S,S,S
287_922,S,,,,,S,,,S,S,,
287_1061,S,,,,,S,,,S,S,,
287_1231,S,,,S,,S,,,S,S,,
287_926,S,,,,,S,,,S,S,,
287_7783,S,R,R,R,R,,R,R,R,R,R,S
1402522_3,S,,,S,S,S,S,S,S,,,S
287_7782,S,R,R,R,R,,R,R,R,R,R,R
287_1190,S,,,S,,,,,S,S,,
287_982,R,,,,,S,,,R,R,,
287_915,R,,,S,,S,,,R,R,,
287_1240,R,,,,,S,,,R,S,,
287_1196,S,,,,,,,,R,R,,
1418237_3,S,,,S,S,S,S,S,S,,,S
1402507_3,R,,,R,R,R,R,R,R,,,R
287_34439,S,S,S,S,S,S,S,,,S,S,
287_7859,S,R,R,R,R,,R,R,R,R,R,S
287_34826,S,S,S,S,S,S,S,,,S,S,
287_1025,S,,,,,S,,,S,S,,
287_7860,S,R,S,S,R,,R,R,R,R,S,R
287_1060,S,,,R,,S,,,R,R,,
287_1089,S,,,S,,S,,,S,S,,
287_878,S,,,,,S,,,R,R,,
287_862,S,,,,,S,,,R,R,,
287_1043,S,,,,,S,,,S,S,,
287_1046,S,,,R,,S,,,S,R,,
287_1030,S,,,,,S,,,S,S,,
287_859,S,,,S,,S,,,S,S,,
287_851,S,,,S,,S,,,S,S,,
287_1141,R,,,R,,S,,,R,R,,
287_7816,S,S,S,S,R,,S,S,R,S,S,S
287_978,S,,,,,S,,,S,S,,
287_1211,R,,,R,,S,,,R,S,,
287_1129,S,,,,,S,,,S,S,,
287_4075,,R,R,R,,,,R,,R,,
287_1075,S,,,,,S,,,S,S,,
1402503_3,S,,,S,R,R,S,R,R,,,S
287_933,S,,,,,S,,,S,S,,
287_32667,,,,,R,,,S,,,,
287_985,S,,,,,S,,,S,R,,
287_908,S,,,S,,S,,,R,S,,
287_7773,S,R,R,R,R,,S,R,R,R,R,S
287_1045,R,,,R,,S,,,R,R,,
287_7844,S,S,R,S,R,,S,R,R,R,S,S
1402528_3,S,,,S,S,S,S,S,S,,,S
287_1197,S,,,,,,,,S,R,,
287_7785,R,R,R,R,R,,R,R,R,R,R,R
287_907,S,,,,,S,,,S,R,,
287_1146,R,,,R,,S,,,R,R,,
287_7831,S,R,R,R,R,,S,R,R,R,R,S
287_8030,S,S,S,S,S,,S,S,S,S,S,S
287_868,S,,,,,S,,,S,S,,
287_953,S,,,,,S,,,S,S,,
287_1179,R,,,,,S,,,R,R,,
287_854,S,,,,,S,,,R,R,,
287_1008,S,,,,,S,,,S,S,,
287_4069,,R,R,R,,,,,,,S,
287_1194,S,,,,,,,,S,S,,
287_1205,S,,,R,,S,,,S,R,,
287_890,S,,,,,S,,,S,S,,
287_867,S,,,R,,S,,,R,R,,
287_1058,S,,,S,,S,,,R,R,,
287_1121,S,,,,,S,,,S,S,,
287_34444,S,R,S,S,S,S,S,,,R,S,
287_1066,S,,,,,S,,,S,S,,
287_881,S,,,S,,S,,,S,S,,
287_1235,R,,,S,,S,,,R,R,,
1418240_3,S,,,S,S,S,S,S,S,,,S
287_1152,S,,,R,,S,,,R,S,,
287_1233,S,,,,,S,,,R,S,,
1402523_3,S,,,S,S,S,S,S,S,,,S
287_1482,S,R,,S,S,,S,S,R,S,S,
287_7847,S,S,S,S,S,,S,S,S,S,S,S
287_1161,S,,,,,S,,,S,R,,
287_1237,R,,,,,S,,,R,R,,
287_1055,S,,,,,S,,,R,S,,
287_7776,S,R,R,S,R,,R,R,R,R,R,R
287_7854,S,S,S,S,S,,S,R,S,R,S,S
287_1198,S,,,R,,,,,R,R,,
287_7778,S,R,R,R,R,,S,R,R,R,R,S
287_858,S,,,S,,S,,,R,S,,
287_7856,S,S,R,S,R,,S,,R,S,S,S
287_912,S,,,R,,S,,,R,R,,
287_884,S,,,S,,S,,,R,S,,
287_7814,S,S,S,S,R,,R,S,R,S,S,R
287_1119,R,,,R,,S,,,R,R,,
287_32655,,,,,R,,,R,,,,
287_34823,S,S,S,S,S,S,S,,,S,R,
287_1101,S,,,S,,S,,,S,R,,
287_1142,R,,,R,,S,,,R,R,,
287_965,S,,,R,,S,,,R,S,,
287_1116,S,,,S,,S,,,S,S,,
287_7821,S,S,S,S,S,,S,R,S,R,S,S
287_5956,S,,,,S,S,S,R,R,R,,
287_847,S,,,,,S,,,S,R,,
287_1195,R,,,S,,,,,R,R,,
287_34825,S,S,S,S,S,S,S,,,S,S,
287_1083,S,,,,,S,,,S,S,,
287_1248,R,,,S,,S,,,S,S,,
287_7857,S,S,S,S,S,,R,R,S,R,S,S
287_856,S,,,,,S,,,S,S,,
287_4056,,R,S,S,,,,R,,S,S,
287_848,S,,,R,,S,,,S,R,,
287_1228,S,,,,,S,,,S,S,,
287_995,S,,,R,,S,,,R,R,,
287_869,S,,,S,,S,,,S,S,,
287_1079,R,,,,,S,,,R,R,,
1402535_3,S,,,S,S,S,S,S,S,,,S
287_8029,S,S,S,S,S,,S,S,S,S,S,S
287_1029,S,,,S,,S,,,R,R,,
287_984,R,,,S,,S,,,S,R,,
287_916,R,,,S,,S,,,R,R,,
287_1054,S,,,R,,S,,,R,R,,
1418242_3,S,,,S,S,S,S,R,S,,,S
287_1017,R,,,,,S,,,R,R,,
287_1193,S,,,S,,,,,S,S,,
287_7822,S,S,S,S,S,,S,S,S,S,S,S
287_1015,S,,,,,S,,,S,S,,
287_1245,S,,,,,S,,,R,R,,
287_999,S,,,,,S,,,S,S,,
1402517_3,S,,,S,R,S,S,S,R,,,S
287_889,R,,,R,,S,,,R,R,,
287_1105,S,,,,,S,,,R,S,,
1402533_3,S,,,S,R,S,S,S,R,,,S
1402524_3,S,,,S,S,S,S,S,S,,,S
287_1170,S,,,,,,,,S,S,,
287_970,S,,,,,S,,,S,R,,
