Genome ID,amikacin,aztreonam,cefepime,ceftazidime,ciprofloxacin,colistin,gentamicin,imipenem,levofloxacin,meropenem,piperacillin_tazobactam,tobramycin
287_7836,S,S,S,R,R,,S,S,S,S,S,R
287_1114,S,,,,,S,,,S,S,,
287_1099,S,,,R,,S,,,S,S,,
287_1199,S,,,S,,,,,S,R,,
287_32653,,,,,R,,,R,,,,
287_1091,S,,,,,S,,,S,R,,
287_1234,R,,,,,S,,,R,R,,
287_7790,S,R,R,R,S,,S,R,R,R,R,S
287_951,S,,,R,,S,,,R,R,,
287_7813,S,S,S,S,S,,S,S,S,S,S,S
287_7808,S,R,S,S,R,,R,R,R,R,S,R
287_1028,S,,,S,,S,,,S,S,,
1402531_3,S,,,S,S,S,S,S,S,,,S
287_1111,R,,,R,,S,,,R,R,,
1402518_3,S,,,R,S,S,S,S,S,,,S
287_7802,S,R,S,S,R,,S,S,S,S,R,
287_1014,S,,,,,S,,,S,S,,
287_1149,S,,,S,,S,,,S,R,,
287_1056,S,,,,,S,,,S,S,,
287_1010,R,,,R,,S,,,R,R,,
287_7849,S,S,S,S,S,,S,R,S,R,S,S
287_1016,S,,,,,S,,,R,R,,
287_891,S,,,,,S,,,S,S,,
287_893,S,,,,,S,,,S,S,,
287_1003,S,,,,,S,,,S,S,,
1447539_3,S,,,S,S,S,S,S,S,,,S
287_1059,S,,,,,S,,,S,S,,
287_8503,,R,,R,R,,,,R,R,,
287_7792,S,S,R,R,S,,R,R,S,R,S,R
1402519_3,S,,,S,S,R,S,S,S,,,S
287_7845,S,S,S,S,S,,S,S,S,S,S,S
287_895,S,,,,,S,,,R,R,,
287_1100,R,,,R,,S,,,R,S,,
287_1125,R,,,R,,R,,,R,R,,
1402516_3,S,,,S,S,S,S,S,S,,,S
287_1110,S,,,,,S,,,S,S,,
287_1133,S,,,R,,S,,,R,R,,
287_8493,,,,,R,,,,R,,,
287_7795,S,R,R,S,R,,S,R,R,R,R,R
287_957,S,,,,,S,,,S,S,,
287_909,S,,,R,,S,,,R,S,,
287_1232,R,,,R,,S,,,R,R,,
287_1201,S,,,,,,,,S,S,,
287_1165,R,,,R,,S,,,R,R,,
287_1038,S,,,S,,S,,,S,R,,
287_4076,,S,R,S,,,,R,,S,S,
287_871,R,,,S,,S,,,R,R,,
287_1229,S,,,,,S,,,S,S,,
287_32672,,,,,R,,,,,,,
287_993,S,,,R,,S,,,R,R,,
287_34441,S,S,S,S,S,S,S,,,S,S,
287_954,S,,,,,S,,,R,R,,
287_1011,R,,,R,,S,,,R,R,,
287_1128,S,,,S,,S,,,R,S,,
287_1078,R,,,R,,S,,,R,R,,
287_913,S,,,R,,S,,,R,S,,
287_1034,S,,,,,S,,,S,S,,
287_1208,R,,,,,S,,,R,S,,
287_1094,S,,,,,S,,,R,R,,
287_4068,,R,R,R,,,,R,,R,,
287_7798,S,S,S,S,R,,R,R,R,S,S,S
287_1180,S,,,,,S,,,R,S,,
287_1019,S,,,,,S,,,R,S,,
287_4054,,S,S,S,,,,,,S,S,
1402521_3,S,,,S,S,S,S,R,S,,,S
287_7862,S,S,S,S,S,,S,S,S,S,S,S
287_852,S,,,S,,S,,,S,S,,
287_1021,R,,,S,,S,,,R,R,,
287_8028,R,R,R,R,R,,S,S,R,S,R,S
287_1127,S,,,R,,S,,,R,R,,
1447541_3,S,,,S,S,S,S,S,S,,,S
287_1139,S,,,R,,S,,,R,R,,
287_7850,S,S,S,S,R,,R,R,R,R,S,S
287_974,R,,,,,S,,,R,R,,
287_968,S,,,,,S,,,S,S,,
287_983,S,,,,,S,,,R,S,,
287_1009,S,,,S,,S,,,S,S,,
287_1062,R,,,S,,S,,,R,R,,
287_1175,S,,,,,,,,S,S,,
287_32674,,,,,R,,,,,,,
287_8509,R,R,R,R,R,S,R,,R,R,,R
287_1177,S,,,S,,,,,S,S,,
1402532_3,S,,,S,S,S,S,S,S,,,S
287_920,S,,,S,,S,,,S,S,,
287_956,S,,,R,,S,,,R,R,,
287_7830,S,R,R,R,R,,S,R,R,R,R,S
287_7791,R,R,R,R,R,,R,R,R,R,R,R
287_7833,S,R,S,S,R,,S,S,R,S,S,R
287_7774,S,S,S,S,R,,S,R,R,R,S,S
1402537_3,S,,,S,S,S,S,S,S,,,S
287_1073,S,,,,,S,,,S,S,,
1402515_3,S,,,R,S,S,S,S,S,,,S
287_1103,S,,,S,,S,,,R,R,,
287_975,R,,,,,S,,,R,R,,
287_34445,S,S,S,S,S,S,S,,,S,S,
287_1143,S,,,R,,S,,,R,S,,
1402527_3,S,,,S,S,S,S,S,S,,,S
287_1122,S,,,R,,S,,,S,R,,
1402502_3,S,,,S,R,S,S,R,R,,,S
287_860,S,,,R,,S,,,S,S,,
287_1158,R,,,R,,S,,,R,R,,
287_1090,R,,,,,S,,,R,S,,
287_1219,R,,,S,,S,,,R,S,,
287_1085,S,,,,,S,,,S,S,,
287_934,R,,,R,,S,,,R,R,,
287_1132,S,,,R,,S,,,R,R,,
287_1162,S,,,R,,S,,,R,R,,
287_1178,R,,,R,,S,,,R,R,,
1418246_3,S,,,S,R,S,S,R,R,,,S
287_1186,S,,,,,,,,S,S,,
287_7848,S,R,R,R,R,,R,R,R,R,R,R
287_32658,,,,,R,,,R,,,,
287_10645,,,,,S,,S,,,,,
287_1027,S,,,R,,S,,,S,S,,
287_1026,S,,,,,S,,,S,R,,
287_1136,R,,,R,,S,,,R,R,,
287_1242,S,,,,,S,,,S,S,,
287_1226,S,,,,,S,,,R,R,,
287_883,S,,,R,,S,,,R,R,,
287_1067,R,,,R,,S,,,R,R,,
287_1002,S,,,,,S,,,R,R,,
287_7810,S,S,S,S,S,,S,S,S,S,S,S
287_927,S,,,S,,S,,,S,S,,
287_1214,,,,R,,S,,,,S,,
287_7796,S,R,S,S,S,,S,S,S,S,S,S
287_1153,R,,,R,,S,,,R,R,,
287_1040,S,,,R,,S,,,S,R,,
287_1224,R,,,R,,S,,,R,R,,
287_7809,S,R,S,S,S,,S,S,S,S,S,S
287_1218,R,,,,,S,,,S,S,,
287_1023,S,,,,,S,,,S,S,,
287_4063,,S,S,S,,,,R,,S,S,
287_7788,S,S,S,S,S,,S,S,S,S,S,S
287_1074,S,,,,,S,,,S,S,,
1402538_3,S,,,S,S,S,S,S,S,,,S
287_925,S,,,,,S,,,R,S,,
287_981,S,,,,,S,,,S,S,,
287_1156,S,,,,,S,,,R,S,,
287_959,S,,,,,S,,,S,S,,
287_1220,S,,,S,,S,,,R,S,,
287_1212,R,,,,,S,,,R,R,,
287_886,S,,,,,S,,,S,S,,
287_1050,S,,,,,S,,,R,R,,
287_7803,S,R,R,S,R,,S,R,R,R,R,S
1402509_3,S,,,S,S,S,S,S,S,,,S
287_1301,S,,,,,S,,,S,S,,
287_1163,R,,,R,,S,,,R,R,,
1402530_3,S,,,S,S,S,S,S,S,,,S
287_1047,S,,,,,S,,,S,S,,
287_7828,S,R,S,S,S,,S,S,R,S,R,S
287_1176,S,,,,,,,,R,R,,
1418235_3,S,,,S,R,S,S,S,R,,,S
287_4066,,R,R,R,,,,,,R,S,
287_873,S,,,,,S,,,S,S,,
287_1123,R,,,,,S,,,R,R,,
287_1022,S,,,,,S,,,S,S,,
1402526_3,R,,,S,R,S,S,R,S,,,S
287_898,S,,,,,S,,,R,R,,
287_1001,S,,,R,,S,,,S,R,,
287_918,S,,,S,,S,,,R,R,,
287_7787,S,R,R,S,R,,R,R,R,R,R,R
287_1068,S,,,,,S,,,S,S,,
287_1187,S,,,,,,,,S,S,,
287_1145,S,,,R,,S,,,R,R,,
287_4057,,S,S,S,,,,R,,S,S,
287_952,S,,,,,S,,,S,S,,
287_1204,R,,,R,,S,,,R,R,,
287_1120,S,,,,,S,,,S,S,,
287_897,R,,,S,,S,,,R,S,,
287_969,S,,,,,S,,,S,S,,
287_32679,,,,,R,,,R,,,,
287_34437,S,S,S,S,S,S,S,,,S,S,
287_1239,R,,,,,,,,R,R,,
287_1048,S,,,,,S,,,S,R,,
287_1012,S,,,,,S,,,S,S,,
287_1041,S,,,,,S,,,S,S,,
287_971,S,,,,,S,,,S,S,,
287_1112,S,,,S,,S,,,R,S,,
287_1247,S,,,,,S,,,S,R,,
287_1206,R,,,R,,S,,,R,R,,
287_1102,S,,,,,S,,,S,S,,
287_1044,S,,,S,,S,,,S,S,,
1402520_3,S,,,S,S,S,S,S,S,,,S
287_1084,S,,,,,S,,,R,R,,
287_1000,R,,,S,,S,,,R,S,,
287_962,S,,,,,S,,,S,S,,
287_903,S,,,R,,S,,,R,S,,
287_1106,S,,,S,,S,,,S,S,,
287_4058,,R,S,R,,,,S,,S,R,
287_7811,S,R,R,S,R,,S,R,R,R,R,S
287_914,S,,,,,S,,,S,S,,
287_924,S,,,,,S,,,S,R,,
287_930,S,,,,,S,,,S,S,,
287_1071,S,,,,,S,,,R,S,,
287_904,S,,,,,S,,,S,S,,
287_1225,R,,,,,R,,,R,R,,
287_902,S,,,,,S,,,R,S,,
287_1171,S,,,,,,,,R,R,,
287_32650,,,,,R,,,,,,,
287_958,S,,,,,S,,,R,R,,
287_1081,S,,,,,S,,,S,S,,
287_850,S,,,,,S,,,S,S,,
287_4061,,S,S,R,,,,R,,R,S,
287_1203,S,,,R,,S,,,R,R,,
287_1095,S,,,S,,S,,,R,R,,
287_1033,S,,,,,S,,,R,R,,
287_32652,,,,,R,,,R,,,,
287_1077,S,,,,,S,,,S,S,,
287_1147,R,,,R,,S,,,R,R,,
287_932,S,,,,,S,,,S,S,,
287_1052,S,,,S,,S,,,R,S,,
287_882,S,,,,,S,,,S,S,,
287_986,S,,,,,S,,,S,R,,
287_849,S,,,R,,S,,,S,R,,
287_1182,S,,,,,S,,,R,R,,
287_961,S,,,S,,S,,,S,R,,
287_1131,S,,,S,,S,,,R,R,,
287_32664,,,,,R,,,R,,,,
287_972,S,,,R,,S,,,R,R,,
287_1134,R,,,R,,S,,,R,R,,
287_888,S,,,,,S,,,R,R,,
287_990,S,,,,,R,,,S,S,,
287_976,S,,,,,S,,,S,S,,
287_32651,,,,,R,,,,,,,
287_1243,R,,,,,,,,R,R,,
287_1144,S,,,R,,S,,,R,R,,
287_8491,,,,,,,R,,,R,,
1402501_3,S,,,R,R,R,S,S,R,,,S
287_998,S,,,,,,,,S,S,,
287_1148,S,,,R,,S,,,R,R,,
287_1086,S,,,,,S,,,S,S,,
1418238_3,S,,,S,S,S,S,S,S,,,S
287_1024,S,,,R,,S,,,R,R,,
287_1167,S,,,S,,,,,S,S,,
287_1174,S,,,,,,,,S,S,,
287_1168,S,,,,,,,,S,R,,
287_1157,S,,,,,S,,,S,S,,
287_861,S,,,,,S,,,R,S,,
287_32677,,,,,R,,,,,,,
287_1117,S,,,,,S,,,S,S,,
287_1113,S,,,,,S,,,S,S,,
287_929,S,,,R,,S,,,R,R,,
287_8498,,R,R,R,,,,,,R,,
287_1164,R,,,,,S,,,R,R,,
287_1042,S,,,R,,S,,,R,R,,
287_1018,S,,,,,S,,,R,S,,
1402508_3,R,,,S,S,S,R,S,R,,,S
287_1082,S,,,,,S,,,S,S,,
287_1088,S,,,R,,S,,,R,S,,
287_892,S,,,,,S,,,S,S,,
287_863,S,,,,,S,,,S,S,,
287_8499,,,,,R,S,R,,R,,,R
287_899,S,,,S,,S,,,S,S,,
287_875,S,,,S,,S,,,S,S,,
287_866,S,,,,,S,,,S,S,,
287_1092,S,,,,,S,,,R,R,,
287_1107,S,,,S,,S,,,S,S,,
287_928,S,,,S,,S,,,S,S,,
287_1070,S,,,,,S,,,R,S,,
287_919,S,,,,,S,,,S,S,,
287_32646,,,,,R,,,R,,,,
287_1069,S,,,S,,S,,,R,S,,
287_996,S,,,,,S,,,R,R,,
1402513_3,S,,,S,S,S,S,S,S,,,S
287_900,S,,,,,S,,,R,S,,
287_32656,,,,,R,,,R,,,,
287_1057,S,,,,,S,,,S,S,,
287_1191,S,,,,,,,,S,S,,
287_32648,,,,,R,,,R,,,,
287_32663,,,,,R,,,,,,,
1447540_3,S,,,S,S,S,S,S,S,,,S
287_865,S,,,,,S,,,S,S,,
287_1076,S,,,,,S,,,S,S,,
287_853,R,,,,,S,,,R,R,,
287_964,S,,,S,,S,,,R,R,,
287_32682,,,,,R,,,,,,,
287_8497,,,R,,,S,R,,,,,
287_963,S,,,,,S,,,S,S,,
287_32654,,,,,R,,,R,,,,
287_4078,,S,S,S,,,,S,,S,S,
287_997,S,,,,,S,,,R,S,,
287_1238,S,,,R,,S,,,R,S,,
287_1020,S,,,,,S,,,S,S,,
287_1150,S,,,R,,S,,,R,R,,
287_8500,,,,,,,R,,,,,
287_1151,S,,,R,,S,,,R,R,,
1402510_3,S,,,S,S,S,S,S,S,,,S
287_32659,,,,,R,,,R,,,,
287_32662,,,,,R,,,R,,,,
287_1192,S,,,R,,,,,R,R,,
287_1207,S,,,,,S,,,S,S,,
287_1005,S,,,,,S,,,S,S,,
287_901,S,,,,,S,,,S,S,,
287_32668,,,,,R,,,,,,,
287_32673,,,,,R,,,R,,,,
287_32676,,,,,R,,,R,,,,
287_10646,,,,,S,,S,,,,,
287_921,S,,,S,,S,,,R,S,,
287_1250,S,,,,,,,,S,,,
287_4059,,R,R,R,,,,,,S,S,
287_857,S,,,,,S,,,S,S,,
287_1222,R,,,S,,S,,,S,S,,
287_32671,,,,,R,,,R,,,,
287_32661,,,,,R,,,R,,,,
287_870,S,,,,,S,,,S,R,,
287_32669,,,,,R,,,,,,,
287_1072,S,,,R,,S,,,R,S,,
287_1223,S,,,,,S,,,R,S,,
287_1097,R,,,R,,S,,,R,S,,
287_1221,S,,,,,S,,,R,S,,
287_1227,R,,,,,S,,,R,R,,
287_32681,,,,,R,,,S,,,,
287_32683,,,,,R,,,S,,,,
287_1109,R,,,R,,S,,,R,R,,
287_32670,,,,,R,,,S,,,,
287_32647,,,,,R,,,R,,,,
287_1246,R,,,,,S,,,R,R,,
287_32680,,,,,R,,,,,,,
287_32657,,,,,,,,S,,,,
287_1035,S,,,,,S,,,S,S,,
